"","Price","Days_on_Market","Number_of_Bedrooms","Number_of_Bathrooms","Building_Type","Rental_Size","Pet_Friendliness"
"443",2840,211,2,1,"Apartment",929,"No"
"444",2613,211,1,1,"Apartment",526,"No"
"445",1750,211,0,1,"Apartment",450,"Yes"
"446",1975,211,0,1,"Apartment",394,"No"
"447",2629,211,1,1,"Apartment",590,"No"
"448",2392,211,1,1,"Apartment",662,"No"
"449",3330,211,3,1.5,"Apartment",1168,"No"
"450",2349,211,1,1,"Apartment",624,"No"
"451",2761,211,3,1.5,"Apartment",1215,"No"
"452",2965,211,2,1,"Apartment",839,"No"
"453",2621,211,1,1,"Apartment",662,"No"
"454",1961,211,0,1,"Apartment",441,"No"
"455",1949,211,0,1,"Apartment",418,"No"
"456",2562,211,2,1,"Apartment",815,"No"
"458",1800,211,2,1,"House",650,"No"
"459",2000,211,1,1,"Basement",750,"Yes"
"460",1800,211,1,1,"Apartment",1100,"Limited"
"461",2600,212,2,1,"Apartment",700,"No"
"463",3347,211,2,1,"Apartment",900,"Yes"
"465",2500,241,2,1,"Apartment",1,"Limited"
"468",3299,211,2,1,"Apartment",740,"No"
"469",2463,211,1,1,"Apartment",714,"No"
"470",1250,211,1,1,"Apartment",600,"No"
"474",2900,211,2,1,"Apartment",800,"Limited"
"475",2226,211,1,1,"Apartment",663,"No"
"476",2450,211,1,1,"Condo",550,"Limited"
"478",3375,211,3,1,"Apartment",900,"Yes"
"479",1850,211,0,1,"Apartment",225,"Limited"
"481",3347,211,2,1,"Apartment",900,"Yes"
"482",2500,211,2,2,"Apartment",700,"Limited"
"487",1999,211,0,1,"Apartment",500,"No"
"490",2200,211,1,1,"Apartment",547,"Yes"
"491",3000,211,2,2,"Apartment",994,"Yes"
"492",2400,211,1,1,"Apartment",665,"Yes"
"493",1900,211,0,1,"Apartment",342,"Yes"
"494",3300,211,2,1,"Apartment",864,"Yes"
"495",2500,211,2,1,"Basement",800,"Limited"
"498",1400,211,0,1,"Basement",600,"No"
"499",1950,211,2,1,"Basement",1,"Limited"
"501",1797,211,0,1,"Apartment",450,"Yes"
"502",3450,211,2,2,"Apartment",1100,"No"
"503",3200,211,2,2,"Condo",700,"Yes"
"505",2395,211,1,1,"Apartment",618,"Yes"
"506",2200,211,1,1,"Apartment",616,"Yes"
"508",2600,212,2,1,"Apartment",700,"No"
"509",2819,228,1,1,"Apartment",689,"Yes"
"510",1900,210,1,1,"Basement",750,"No"
"511",3145,231,2,2,"Apartment",1049,"Yes"
"512",3347,211,2,1,"Apartment",900,"Yes"
"513",2700,211,1,1,"Apartment",756,"Yes"
"515",1500,211,1,1,"Basement",600,"No"
"516",2975,211,2,1,"Apartment",720,"Yes"
"518",2500,211,1,1,"Apartment",750,"No"
"520",1995,211,0,1,"Apartment",301,"Limited"
"521",2350,211,1,1,"Apartment",551,"Limited"
"522",2165,211,0,1,"Apartment",373,"Limited"
"523",2440,211,1,1,"Apartment",692,"Limited"
"524",2295,211,1,1,"Apartment",550,"Limited"
"525",2160,211,0,1,"Apartment",385,"Limited"
"526",2180,211,0,1,"Apartment",403,"Limited"
"527",2375,211,1,1,"Apartment",581,"Limited"
"531",2100,211,1,1,"Apartment",427,"No"
"537",2104,211,1,1,"Apartment",678,"Yes"
"539",1893,211,0,1,"Apartment",300,"Yes"
"540",2299,211,1,1,"Apartment",590,"Yes"
"541",2741,211,2,1,"Apartment",710,"Yes"
"542",2699,211,2,1,"Apartment",811,"Yes"
"543",1944,211,0,1,"Apartment",398,"Yes"
"544",1859,211,1,1,"Apartment",650,"Limited"
"545",2199,211,1,1,"Apartment",476,"Yes"
"546",2535,211,1,1,"Apartment",612,"Yes"
"547",2275,211,1,1,"Apartment",509,"Yes"
"548",3708,211,2,1.5,"Apartment",1101,"Yes"
"554",2049,219,1,1,"Apartment",468,"Yes"
"555",2400,222,2,1,"Apartment",833,"Yes"
"556",2429,225,1,1,"Apartment",742,"Limited"
"561",2600,211,2,1,"Apartment",904,"No"
"562",1899,211,0,1,"Apartment",345,"No"
"563",2482,211,2,1,"Apartment",886,"No"
"564",2297,211,1,1,"Apartment",758,"No"
"565",2716,211,2,1,"Apartment",857,"No"
"566",1699,211,2,2,"Apartment",770,"No"
"567",2264,211,1,1,"Apartment",732,"No"
"568",1875,211,0,1,"Apartment",452,"No"
"569",3010,211,2,1.5,"Apartment",1344,"No"
"570",1890,211,1,1,"Basement",600,"No"
"572",1800,211,1,1,"Basement",401,"No"
"573",1800,211,2,1,"Basement",850,"No"
"574",1550,211,0,1,"Apartment",300,"No"
"576",2150,211,1,1,"Apartment",616,"Yes"
"577",2050,211,1,1,"Apartment",625,"Yes"
"578",2383,211,2,1,"Apartment",941,"Limited"
"579",2500,211,2,1,"Apartment",700,"Limited"
"581",1550,211,0,1,"Apartment",236,"Yes"
"583",1650,211,0,1,"Apartment",280,"Yes"
"584",2000,211,1,1,"Apartment",900,"Limited"
"585",2250,211,1,1,"Apartment",595,"Yes"
"590",3300,211,3,2,"Apartment",962,"Limited"
"591",2450,211,1,1,"Apartment",668,"Yes"
"592",2400,211,1,1,"Apartment",647,"Yes"
"593",1975,211,0,1,"Apartment",500,"Yes"
"599",3461,210,3,1.5,"Apartment",1282,"No"
"601",3070,220,2,1,"Apartment",861,"Yes"
"602",2800,217,3,1,"Basement",1265,"Yes"
"603",2699,224,1,1,"Apartment",986,"Yes"
"607",1999,211,1,1,"Apartment",800,"No"
"608",1375,211,1,1,"Basement",550,"No"
"609",2800,211,2,2,"Condo",800,"No"
"611",2200,211,1,1,"Apartment",682,"Limited"
"612",2600,211,2,1,"Apartment",1000,"No"
"614",2500,211,1,1,"Apartment",619,"Limited"
"615",1950,211,2,1,"Basement",1100,"No"
"616",2350,211,1,1,"Apartment",850,"Limited"
"618",1650,211,0,1,"Apartment",499,"No"
"619",2350,211,2,1,"Apartment",1000,"Limited"
"621",2600,211,2,1,"Apartment",1000,"No"
"623",2500,211,2,2,"Condo",723,"No"
"626",1690,211,1,1,"Basement",699,"No"
"629",3500,211,2,2,"Condo",880,"Yes"
"630",2200,211,2,1,"Basement",800,"No"
"637",1625,211,1,1,"Basement",525,"Limited"
"646",1900,210,1,1,"Basement",750,"No"
"650",2716,211,2,1,"Apartment",857,"No"
"658",3450,211,2,2,"Condo",810,"Yes"
"661",2195,211,1,1,"Apartment",500,"No"
"662",1595,211,0,1,"Apartment",236,"Yes"
"663",2995,211,1,1,"Apartment",580,"Limited"
"664",2500,211,1,1,"Apartment",587,"Yes"
"665",2450,211,1,1,"Apartment",519,"Yes"
"666",3600,211,2,2,"Apartment",1005,"Yes"
"667",2100,211,1,1,"Apartment",700,"Limited"
"676",2000,212,1,1,"Apartment",700,"No"
"680",1675,212,0,1,"Basement",500,"No"
"681",2250,212,2,1,"Basement",700,"No"
"686",2200,212,1,1,"Apartment",700,"Limited"
"688",2895,212,2,1,"Apartment",958,"Yes"
"691",2395,211,1,1,"Apartment",439,"Yes"
"693",2819,221,2,1,"Apartment",904,"Yes"
"694",2519,210,1,1,"Apartment",738,"No"
"695",2287,211,1,1,"Apartment",555,"Yes"
"698",1850,212,1,1,"Apartment",900,"Limited"
"700",2600,212,2,1,"Apartment",899,"Limited"
"707",3300,212,2,2,"Condo",799,"No"
"708",2300,212,1,1,"Apartment",700,"Yes"
"709",1700,212,1,1,"Basement",500,"No"
"710",1300,212,2,1,"Condo",3,"No"
"712",1800,212,1,1,"Condo",800,"Limited"
"721",1975,212,1,1,"Apartment",350,"No"
"722",3100,212,2,1,"Basement",990,"No"
"723",3250,212,2,1,"Apartment",1200,"Limited"
"724",3300,212,3,1,"House",900,"No"
"725",3395,212,2,1,"Apartment",899,"Yes"
"726",2600,212,2,1,"Apartment",860,"Yes"
"727",2100,212,1,1,"Apartment",800,"No"
"728",2200,212,1,1,"Apartment",700,"No"
"729",2300,212,1,1,"Apartment",511,"Yes"
"730",2825,212,2,2,"Apartment",1,"Yes"
"731",2995,212,2,2,"Apartment",1,"Yes"
"732",3200,212,2,2,"House",1200,"Yes"
"734",2599,212,1,1,"Apartment",688,"Yes"
"735",3149,212,2,1,"Apartment",899,"Yes"
"736",2629,212,1,1,"Apartment",640,"Yes"
"737",1895,210,1,1,"Apartment",470,"Limited"
"738",2699,224,2,1,"Apartment",986,"Yes"
"739",3145,231,2,2,"Apartment",1049,"Yes"
"742",2297,211,1,1,"Apartment",758,"No"
"743",2299,212,1,1,"Apartment",600,"Yes"
"744",2799,212,2,2,"Apartment",780,"Yes"
"745",2400,212,2,1,"Apartment",900,"Yes"
"746",2200,212,1,1,"Apartment",700,"Yes"
"748",1685,212,1,1,"Basement",450,"Yes"
"749",3400,212,3,2,"Apartment",1300,"Yes"
"750",2000,212,1,1,"Apartment",750,"Yes"
"751",2350,212,1,1,"Apartment",750,"Yes"
"752",2000,212,1,1,"Apartment",650,"Yes"
"753",2100,212,1,1,"Apartment",750,"Yes"
"754",2350,212,1,1,"Condo",600,"No"
"755",3400,212,3,1,"Apartment",1100,"Yes"
"756",2950,212,3,1,"House",1200,"No"
"757",2200,212,1,1,"Apartment",529,"Yes"
"758",1895,212,1,1,"Apartment",500,"Yes"
"760",2590,212,2,1,"House",900,"Yes"
"761",2269,212,1,1,"Apartment",400,"No"
"763",2275,212,1,1,"Apartment",500,"Yes"
"765",2279,212,1,1,"Apartment",706,"Yes"
"767",1900,212,1,1,"Basement",750,"No"
"769",2100,212,1,1,"Apartment",500,"No"
"770",2250,212,1,1,"Basement",700,"Yes"
"772",1995,212,2,1,"Basement",610,"Yes"
"773",2300,212,1,1,"Apartment",700,"Yes"
"774",1080,212,3,2,"Apartment",1125,"Limited"
"775",2299,212,2,1,"Apartment",900,"Yes"
"779",1500,212,0,1,"Apartment",1,"No"
"781",1800,212,1,1,"Apartment",600,"No"
"783",2809,219,2,1,"Apartment",795,"Yes"
"784",2279,210,1,1,"Apartment",629,"Yes"
"785",1900,210,1,1,"Basement",750,"No"
"787",2000,210,0,1,"Apartment",445,"Yes"
"788",2300,218,1,1,"Apartment",680,"Yes"
"792",1500,212,1,1,"House",400,"No"
"793",2600,212,1,1,"Condo",600,"No"
"794",1300,212,1,1,"Basement",300,"No"
"797",1899,212,0,1,"Apartment",456,"Yes"
"799",3100,212,3,1.5,"Apartment",1800,"Yes"
"801",1000,212,1,1,"Apartment",800,"No"
"802",2900,212,2,2,"Apartment",960,"Limited"
"804",2975,212,2,1,"Apartment",850,"Limited"
"805",1675,212,1,1,"Apartment",1000,"Yes"
"809",2000,212,1,1,"Apartment",500,"Yes"
"810",1800,212,1,1,"Apartment",500,"Yes"
"814",2400,212,2,1,"Apartment",900,"Limited"
"816",2550,212,2,1,"Apartment",900,"No"
"817",3600,212,2,1,"Apartment",1300,"No"
"818",2550,212,2,1,"Apartment",800,"No"
"822",3400,212,2,1,"Apartment",831,"Yes"
"823",2100,212,0,1,"Apartment",500,"Yes"
"825",2000,212,1,1,"Apartment",700,"Limited"
"826",2800,212,1,1,"Condo",665,"No"
"827",2900,212,2,1,"Apartment",700,"Yes"
"828",1500,212,0,1,"Apartment",1,"No"
"830",2639,210,2,1,"Apartment",994,"No"
"832",2519,210,1,1,"Apartment",738,"No"
"835",2400,212,2,1,"Apartment",800,"No"
"838",4000,212,4,1.5,"Duplex/Triplex",1000,"Yes"
"839",2850,212,2,1,"Apartment",950,"Yes"
"840",1850,212,1,1,"Basement",950,"No"
"841",1900,212,1,1,"Apartment",825,"Yes"
"842",2200,212,2,1,"Apartment",700,"No"
"844",2200,212,1,1,"Apartment",700,"Yes"
"845",1850,212,0,1,"Apartment",550,"Yes"
"847",2600,212,2,1,"Apartment",975,"Limited"
"848",2500,212,2,1,"Duplex/Triplex",800,"No"
"850",2600,212,2,1,"Apartment",700,"No"
"851",2850,212,2,1,"Apartment",750,"Yes"
"852",1850,212,0,1,"Apartment",550,"Yes"
"853",2850,212,2,1,"Apartment",981,"Yes"
"854",2450,212,1,1,"Apartment",715,"Yes"
"855",2450,212,1,1,"Apartment",660,"Limited"
"858",2100,212,2,1,"Basement",700,"Limited"
"859",3199,212,2,2,"Condo",763,"Yes"
"860",2800,212,2,1,"Apartment",1200,"No"
"861",2395,212,1,1,"Apartment",600,"No"
"862",2395,212,2,2,"Apartment",600,"Limited"
"863",2750,212,2,2,"Apartment",900,"Limited"
"868",2412,212,1,1,"Apartment",632,"No"
"869",2744,212,2,1,"Apartment",919,"No"
"870",2500,212,1,1,"Apartment",679,"Yes"
"871",2359,212,1,1,"Apartment",325,"Yes"
"872",2347,212,1,1,"Apartment",691,"No"
"873",2174,212,1,1,"Apartment",657,"No"
"874",2850,212,2,1,"Apartment",900,"No"
